Engine Size,Cylinders,Fuel Consumption Combined,Co2 Emissions
6.4,8,18,368
1.3,4,32,204
2.4,4,30,222
1.3,4,31,216
1.3,4,29,230
2.4,4,29,230
2,4,27,241
3.6,6,24,274
3.6,6,26,259
3.6,6,24,277
2,4,25,263
2,4,26,257
3,6,30,255
3.6,6,24,280
3.6,6,24,276
3.6,6,23,285
1.6,4,36,184
2,4,40,165
2,4,37,180
1.6,4,35,190
2,4,40,169
1.6,4,59,114
1.6,4,60,110
1.6,4,52,129
2.4,4,34,199
2,4,50,132
1.6,4,43,151
1.6,4,40,167
3.3,6,25,271
2.4,4,28,242
3.3,6,25,261
2,4,36,188
2,4,32,206
2.4,4,31,214
2,4,26,261
2.4,4,28,239
3.3,6,24,279
3.8,6,25,264
6.5,12,13,485
6.5,12,13,493
5.2,10,18,370
5.2,10,18,370
5.2,10,18,370
5.2,10,18,370
4,8,17,384
3,6,21,311
3,6,27,279
2,4,25,266
2,4,25,262
3,6,26,258
3,6,29,256
5,8,22,305
5,8,22,305
5,8,19,354
5,8,18,365
3,6,25,264
3,6,29,256
5,8,22,294
5,8,20,336
2,4,27,245
2,4,27,242
2,4,28,238
2,4,27,248
3,6,24,273
3,6,24,273
5,8,21,318
2.5,4,53,124
3.5,6,31,213
3.5,6,30,219
3.5,6,26,254
5,8,23,293
4.6,8,19,337
2,4,30,220
3.5,6,26,254
3.5,6,26,254
5,8,22,294
3.5,6,35,189
3.4,6,25,262
3.5,6,31,214
5.7,8,17,395
2,4,29,226
2,4,29,232
2.5,4,38,176
3.5,6,25,262
3.5,6,25,262
5,8,23,285
3.5,6,26,252
3.5,6,25,268
3.5,6,36,185
3.5,6,35,190
2,4,39,168
2,4,47,140
3,6,24,280
2.7,6,24,281
3,6,23,289
3.7,6,23,287
2,4,29,229
2.3,4,29,230
2,4,27,245
2,4,50,131
2,4,26,250
2.7,6,26,258
3.5,6,21,315
3,6,23,286
3,6,23,286
3,6,22,295
3,6,21,324
3,6,21,324
3.8,8,18,360
3.8,8,18,360
3,6,23,286
3,6,22,301
3.8,8,21,321
2,4,37,179
2,4,35,186
2,4,35,189
2,4,35,189
2.5,4,34,194
2,4,33,202
2.5,4,32,208
2.5,4,33,200
2.5,4,32,206
2.5,4,33,201
2.5,4,30,217
2.5,4,31,208
2.5,4,29,230
2.5,4,27,244
2,4,37,178
2,4,37,180
2.5,4,37,181
2.5,4,36,183
2.5,4,34,192
2,4,37,181
2,4,36,181
2.5,4,35,187
2.5,4,35,189
2.5,4,32,204
2.5,4,35,188
2.5,4,32,208
2,4,36,186
2,4,35,189
2,4,33,201
2,4,34,195
2,4,32,207
2,4,31,215
3,6,26,253
3,6,25,263
3,6,25,255
3,6,26,255
4,8,25,263
4,8,25,263
4,8,24,282
4,8,24,277
2,4,30,218
2,4,28,237
3,6,26,235
3,6,29,232
3,6,26,245
3,6,27,237
3,6,28,239
4,8,21,318
4,8,22,299
4,8,17,396
3,6,24,271
3,6,24,272
4,8,21,309
4,8,21,309
3,6,23,285
3,6,25,264
4,8,21,323
4,8,21,324
4,8,21,315
4,8,20,326
4,8,20,327
4,8,20,327
4,8,24,275
4,8,22,306
4,8,24,271
6,12,19,356
3,6,28,238
2,4,30,219
2,4,29,231
2,4,30,221
2,4,30,221
2,4,32,204
3,6,29,213
2,4,30,220
3,6,27,243
3,6,24,271
3,6,26,257
3,6,26,254
4,8,17,378
2,4,31,211
2,4,31,210
2,4,28,234
2,4,28,236
2,4,27,249
3,6,25,262
3,6,25,267
4,8,22,302
4,8,23,286
6,12,19,355
2,4,27,247
2,4,27,246
2,4,26,257
3,6,26,253
4,8,25,265
4,8,25,265
4,8,24,273
4,8,25,270
3,6,27,241
4.7,8,24,270
2,4,32,205
1.5,3,38,174
1.5,3,38,174
1.5,3,33,197
1.5,3,38,174
1.5,3,33,200
2,4,36,184
2,4,36,184
2,4,32,207
2,4,35,191
2,4,31,212
2,4,35,190
2,4,31,210
2,4,34,194
2,4,31,210
1.5,4,30,216
1.2,3,46,143
1.2,3,43,151
2.4,4,31,212
3,6,27,246
2,4,32,206
2,4,31,213
2.4,4,30,218
3.7,6,25,261
3.7,6,25,270
3.7,6,25,271
3.7,6,24,279
2.5,4,36,186
2.5,4,35,190
5.6,8,18,362
3.8,6,24,273
3.8,6,23,287
3.8,6,22,300
1.6,4,39,169
3.5,6,29,233
3.5,6,28,240
3.5,6,27,242
2,4,30,218
2,4,34,192
2,4,31,217
2,4,34,198
3.5,6,28,240
3.5,6,26,251
3.5,6,26,257
2.5,4,34,192
2.5,4,32,204
2,4,40,167
2,4,39,171
2,4,35,188
5.6,8,21,313
5.6,8,21,313
1.6,4,42,158
1.6,4,37,181
3,6,25,276
3,6,24,276
3,6,24,277
3,6,24,277
3,6,25,269
2.9,6,24,279
4,8,20,329
2,4,25,265
3,6,24,272
3,6,26,250
3,6,26,253
3,6,26,253
3,6,26,250
2.9,6,25,261
2.9,6,25,261
2.9,6,24,273
4,8,22,295
4,8,21,313
4,8,25,261
4,8,25,261
4,8,24,279
3,6,31,243
3.6,6,26,253
3.6,6,27,245
5.7,8,21,320
5.7,8,23,290
3,6,29,260
3.6,6,25,260
5.7,8,20,325
5.7,8,22,299
3.6,6,24,280
5.7,8,21,319
3.6,6,22,294
5.7,8,20,330
2.4,4,29,232
6.7,12,17,386
6.7,12,17,386
6.6,12,17,400
6.6,12,17,400
6.6,12,17,400
6.7,12,17,382
6.7,12,17,382
6.6,12,17,387
2.4,4,27,244
2,4,33,200
2,4,29,231
2,4,28,239
2,4,36,185
2,4,30,220
2.5,4,34,192
2,4,38,174
2,4,31,210
2,4,37,178
2,4,31,211
2.4,4,32,205
2.5,4,36,185
2.4,4,31,213
2.5,4,34,192
2,4,25,263
2,4,28,236
2.5,4,22,297
4,6,20,321
4,6,20,321
2,4,32,204
2,4,29,232
3.5,6,30,220
2,4,34,189
2.5,4,41,164
2.5,4,38,173
2.5,4,37,177
3.5,6,31,210
3.5,6,31,215
3.5,6,30,220
2.5,4,34,190
2.5,4,34,197
2.5,4,58,113
2.5,4,55,121
1.8,4,40,165
1.8,4,39,170
1.8,4,40,165
2,4,42,158
2,4,40,164
2,4,38,173
2,4,42,158
2,4,38,174
1.8,4,63,106
3,6,32,208
3.5,6,27,240
3.5,6,27,240
2.5,4,42,158
2.5,4,42,156
1.8,4,63,106
1.8,4,60,109
1.5,4,55,120
2.5,4,36,184
2.5,4,34,194
2.5,4,33,200
2.5,4,47,139
5.7,8,17,385
3.5,6,26,259
3.5,6,24,274
2.7,4,25,263
2.7,4,24,274
3.5,6,24,278
3.5,6,22,299
3.5,6,22,300
5.7,8,18,371
5.7,8,17,381
1.5,4,43,155
1.5,4,41,165
2,4,28,234
2,4,24,273
3.6,6,22,297
1.4,4,38,174
1.4,4,37,177
2,4,32,203
2,4,32,203
1.4,4,40,162
1.4,4,40,163
2,4,34,196
2,4,33,198
2,4,32,205
2,4,30,221
2,4,28,241
2,4,32,208
2,4,30,219
2,4,29,223
2,4,32,208
2,4,30,219
2,4,30,220
2,4,31,210
2,4,30,219
2,4,29,232
2,4,27,240
2,4,29,232
2,4,26,248
